"game_id","season","team","opponent","spread_line","coach","roof","ats_win","location","epa","pass_yds_per_attempt","rush_yds_per_attempt","int","fumbles_lost","penalty_yards","def_epa","def_pass_yds_per_attempt","def_rush_yds_per_attempt","def_int","forced_fumbles","def_penlty_yards"
"2001_07_MIN_TB",2001,"TB","MIN",3,"Tony Dungy","outdoors","win","home",0.357130621765848,13.8,4.5,0,0,0,-0.220299593629893,11,3.61111111111111,1,0,23
"2001_07_ARI_DAL",2001,"DAL","ARI",-3,"Dave Campo","outdoors","win","home",-0.168410649041303,10.3333333333333,4.26470588235294,1,1,9,-0.227548467219646,9.32,3.40909090909091,2,1,0
"2001_07_NYG_WAS",2001,"WAS","NYG",-7.5,"Marty Schottenheimer","outdoors","win","home",0.134460913255692,18.4166666666667,4.48571428571429,0,0,11,-0.0113742787038468,10.8125,2.21052631578947,1,1,0
"2001_07_NE_DEN",2001,"DEN","NE",7,"Mike Shanahan","outdoors","win","home",0.00671249011227909,14.8947368421053,2.96551724137931,2,0,15,-0.116776884141071,8.12,4.875,5,0,20
"2001_07_OAK_PHI",2001,"PHI","OAK",1,"Andy Reid","outdoors","lose","home",-0.190160728159571,11.0833333333333,4.875,0,0,15,0.0288059079405466,9.29411764705882,4.29787234042553,0,0,0
"2001_07_MIA_SEA",2001,"SEA","MIA",-2.5,"Mike Holmgren","outdoors","lose","home",-0.0218994158934704,14.375,3.2,0,2,30,0.121596800243061,14.2,2.23529411764706,2,1,0
"2001_07_TEN_PIT",2001,"PIT","TEN",3,"Bill Cowher","outdoors","win","home",0.155009831660772,20.6428571428571,3.41025641025641,0,0,0,-0.158796532613808,12.5,2.375,2,1,0
"2001_08_NE_ATL",2001,"ATL","NE",3,"Dan Reeves","dome","lose","home",-0.357191115572401,15.1,7.36842105263158,1,0,25,-0.0457756033422719,11.9047619047619,3.97058823529412,0,2,0
"2001_08_IND_BUF",2001,"BUF","IND",-3,"Gregg Williams","outdoors","lose","home",-0.352270107639625,10.1176470588235,4,0,2,0,0.0755877461173617,11.7058823529412,3.89189189189189,0,0,0
"2001_08_TB_GB",2001,"GB","TB",5,"Mike Sherman","outdoors","lose","home",-0.125938564627799,11.25,6.3448275862069,2,1,5,-0.137071588655642,9.83333333333333,2.54166666666667,0,0,0
"2001_08_CAR_MIA",2001,"MIA","CAR",10,"Dave Wannstedt","outdoors","win","home",0.00494147395366936,14.35,2.03448275862069,1,0,0,-0.290000798631498,13.2666666666667,5.15,1,0,13
"2001_08_DAL_NYG",2001,"NYG","DAL",10.5,"Jim Fassel","outdoors","lose","home",-0.250811144910128,11.6666666666667,3.57692307692308,2,2,0,-0.216987352023062,15.4117647058824,2.6875,4,0,0
"2001_08_BAL_PIT",2001,"PIT","BAL",2,"Bill Cowher","outdoors","lose","home",-0.0192354801838731,10.7272727272727,3.51428571428571,0,1,0,-0.128604553599224,11.2857142857143,1.57692307692308,1,0,0
"2001_08_JAX_TEN",2001,"TEN","JAX",3,"Jeff Fisher","outdoors","win","home",0.204301214236441,8.92592592592593,4.42424242424242,0,0,0,0.114263029912629,12.4285714285714,4.11764705882353,1,0,0
"2001_08_PHI_ARI",2001,"ARI","PHI",-7,"Dave McGinnis","outdoors","lose","home",-0.148908677309758,12.2083333333333,2.375,1,1,0,0.0438325034041993,12.5263157894737,5.13636363636364,1,0,15
"2001_08_DET_SF",2001,"SF","DET",8.5,"Steve Mariucci","outdoors","lose","home",0.0654803201536712,11.3846153846154,4.14285714285714,2,1,10,-0.176254294281157,9,2.95,0,0,15
"2001_08_CLE_CHI",2001,"CHI","CLE",4.5,"Dick Jauron","outdoors","win","home",-0.0835337373903075,11.9,3.09375,3,1,15,-0.0999734644719865,15.0714285714286,3.04347826086957,1,0,25
"2001_08_SEA_WAS",2001,"WAS","SEA",-2.5,"Marty Schottenheimer","outdoors","win","home",0.107241283879109,10.1333333333333,4.91304347826087,1,0,10,-0.186031085318973,17.7142857142857,4.28571428571429,3,1,16
"2001_08_NYJ_NO",2001,"NO","NYJ",6.5,"Jim Haslett","dome","lose","home",-0.393730901061527,13.6666666666667,4,2,2,40,-0.122897967288926,11.1538461538462,4.17647058823529,1,1,26
"2001_09_DAL_ATL",2001,"ATL","DAL",6,"Dan Reeves","dome","win","home",-0.0961551606584523,7.85714285714286,4.6969696969697,0,1,14,-0.0493807020506387,8.14285714285714,6.27272727272727,1,0,0
"2001_09_GB_CHI",2001,"CHI","GB",-2.5,"Dick Jauron","outdoors","lose","home",-0.159476255651918,7.55172413793103,1.95833333333333,0,1,0,0.140835893752865,14.1052631578947,4.34782608695652,1,1,0
"2001_09_PIT_CLE",2001,"CLE","PIT",-3,"Butch Davis","outdoors","push","home",-0.154129883015653,8.88888888888889,3.21739130434783,0,0,0,0.0284449220227413,10.4444444444444,6.02439024390244,0,1,30
"2001_09_TB_DET",2001,"DET","TB",-5,"Marty Mornhinweg","dome","win","home",-0.186838887134979,11.3809523809524,2.26086956521739,2,1,23,-0.164222185334794,9.4,3.96,0,0,0
"2001_09_MIA_IND",2001,"IND","MIA",3,"Jim Mora","dome","lose","home",-0.164294563980152,12.65,2.6,2,1,30,0.0205068915570265,15.2352941176471,4.78571428571429,2,0,0
"2001_09_CIN_JAX",2001,"JAX","CIN",4,"Tom Coughlin","outdoors","win","home",0.0883983394640381,9.45,3.88,0,0,5,-0.0615916141516338,10.8214285714286,3.17391304347826,1,0,0
"2001_09_BUF_NE",2001,"NE","BUF",6,"Bill Belichick","outdoors","win","home",-0.117408456417909,7.13333333333333,4.32258064516129,1,2,21,-0.164649350938425,12.75,3.28571428571429,2,0,35
"2001_09_KC_NYJ",2001,"NYJ","KC",4.5,"Herm Edwards","outdoors","win","home",0.0217215905854312,9.94444444444444,4.7027027027027,1,1,0,-0.271102726390624,8.9375,3.84615384615385,3,1,0
"2001_09_SD_DEN",2001,"DEN","SD",5.5,"Mike Shanahan","outdoors","win","home",-0.138973043243247,10.6666666666667,2.78571428571429,0,1,0,-0.267151259330886,13.75,5.64705882352941,4,0,0
"2001_09_NYG_ARI",2001,"ARI","NYG",-5.5,"Dave McGinnis","outdoors","lose","home",-0.227283439973675,13.2307692307692,3.12,1,2,0,0.0534145965586749,10.3333333333333,4.53658536585366,1,0,24
"2001_09_MIN_PHI",2001,"PHI","MIN",4.5,"Andy Reid","outdoors","win","home",0.338027694505446,11.7368421052632,7.77142857142857,0,1,5,-0.16707513392606,13.5714285714286,2.66666666666667,1,3,0
"2001_09_NO_SF",2001,"SF","NO",3,"Steve Mariucci","outdoors","lose","home",0.260184272168086,12,6.30769230769231,0,0,45,0.202246549318593,15.7727272727273,4.75,0,1,0
"2001_09_OAK_SEA",2001,"SEA","OAK",-6,"Mike Holmgren","outdoors","win","home",0.340081701110638,12.0666666666667,7.59523809523809,0,0,10,0.150789477278315,10.7083333333333,4.88888888888889,0,1,6
"2001_09_BAL_TEN",2001,"TEN","BAL",-1.5,"Jeff Fisher","outdoors","lose","home",-0.150387530712625,9.48148148148148,3.21428571428571,1,1,0,-0.207839505686225,11.3125,3.20833333333333,1,1,15
"2001_10_CLE_BAL",2001,"BAL","CLE",8,"Brian Billick","outdoors","lose","home",-0.233237061636774,11.3478260869565,4,4,1,0,-0.107550981435282,7.57894736842105,3.16666666666667,3,0,0
"2001_10_SEA_BUF",2001,"BUF","SEA",-3.5,"Gregg Williams","outdoors","win","home",0.0371777459630877,11.2857142857143,3.13636363636364,0,2,25,0.0888219485862919,8.375,3.5,0,0,0
"2001_10_SF_CAR",2001,"CAR","SF",-7,"George Seifert","outdoors","win","home",-0.0287127777321615,8.04545454545454,6.93333333333333,0,0,0,0.0614689786522542,8.97058823529412,4.65384615384615,2,1,0
"2001_10_TEN_CIN",2001,"CIN","TEN",1.5,"Dick LeBeau","outdoors","lose","home",-0.193834343913107,10.1739130434783,1.9047619047619,2,1,15,-0.0209727718673621,10.75,4.16129032258065,1,1,15
"2001_10_PHI_DAL",2001,"DAL","PHI",-7,"Dave Campo","outdoors","lose","home",-0.504243574803784,9.27272727272727,5.73913043478261,2,2,0,-0.10382387832376,8.0625,2.8,1,0,12
"2001_10_ATL_GB",2001,"GB","ATL",10,"Mike Sherman","outdoors","lose","home",-0.124351443602893,16.375,3.68421052631579,3,1,0,0.058487925955801,12.1379310344828,3.28,2,0,22
"2001_10_NYJ_MIA",2001,"MIA","NYJ",5.5,"Dave Wannstedt","outdoors","lose","home",-0.449512311382977,7.83333333333333,2.6,3,2,0,-0.207101948990802,7.6,3.07142857142857,0,0,16
"2001_10_IND_NO",2001,"NO","IND",5.5,"Jim Haslett","dome","win","home",0.14880114909208,13.1052631578947,4.24324324324324,0,0,30,0.0649486862602476,14.5555555555556,3.34782608695652,1,0,10
"2001_10_JAX_PIT",2001,"PIT","JAX",5.5,"Bill Cowher","outdoors","win","home",0.0407175232645765,12.6666666666667,4.26470588235294,0,0,15,-0.27388519010658,13.2352941176471,3,0,3,0
"2001_10_DET_ARI",2001,"ARI","DET",2,"Dave McGinnis","outdoors","win","home",0.265683371019641,15.9047619047619,3.42307692307692,1,0,11,0.15054037381958,12.1111111111111,2.22727272727273,3,0,15
"2001_10_WAS_DEN",2001,"DEN","WAS",8.5,"Mike Shanahan","outdoors","lose","home",-0.295946684298678,10.3636363636364,3.25925925925926,0,2,15,-0.167947387038621,9.375,3.6875,0,2,15
"2001_10_CHI_TB",2001,"TB","CHI",5,"Tony Dungy","outdoors","lose","home",-0.119975519209323,9.85365853658537,1.26666666666667,2,2,15,0.0403426299350954,16.2857142857143,2.69230769230769,1,0,29
"2001_10_STL_NE",2001,"NE","STL",-8.5,"Bill Belichick","outdoors","win","home",-0.21684613272284,9.73684210526316,2.55,2,1,0,0.0645495268497373,13.3666666666667,3.07142857142857,2,1,16
"2001_10_NYG_MIN",2001,"MIN","NYG",2,"Dennis Green","dome","win","home",0.0869056740033346,10.6538461538462,3.42857142857143,2,1,40,0.0614444853732697,15.2857142857143,4.06666666666667,2,0,0
"2001_11_GB_DET",2001,"DET","GB",-7,"Marty Mornhinweg","dome","win","home",-0.062700595655345,12.1764705882353,6.68,1,1,38,0.0532812549967117,14,3.85185185185185,0,1,0
